transcript_id,transcript_id,corpus_name,language,date,filename,target_child_name,target_child_age,target_child_sex,collection_name,pid,collection_id,corpus_id,target_child_id
1,1,English-WolfHemp,eng,6/14/89,Frogs/English-WolfHemp/06/31w6.xml,John,78.00160168,male,Frogs,11312/c-00020802-1,1,1,1
2,2,English-WolfHemp,eng,9/6/89,Frogs/English-WolfHemp/06/34w6.xml,Rachel,80.00164274,female,Frogs,11312/c-00020808-1,1,1,2
3,3,English-WolfHemp,eng,7/13/89,Frogs/English-WolfHemp/06/06m6.xml,Christina,80.00164274,female,Frogs,11312/c-00020784-1,1,1,5
4,4,English-WolfHemp,eng,NA,Frogs/English-WolfHemp/06/02m6.xml,Margaret,80.00164274,female,Frogs,11312/c-00020775-1,1,1,3
5,5,English-WolfHemp,eng,7/10/89,Frogs/English-WolfHemp/06/04w6.xml,Erin,79.00162221,female,Frogs,11312/c-00020781-1,1,1,4
6,6,English-WolfHemp,eng,6/20/89,Frogs/English-WolfHemp/06/03m6.xml,Andrew,77.00158114,male,Frogs,11312/c-00020778-1,1,1,34
7,7,English-WolfHemp,eng,8/16/89,Frogs/English-WolfHemp/06/38w6.xml,Elizabeth,79.00162221,female,Frogs,11312/c-00020817-1,1,1,13
8,8,English-WolfHemp,eng,6/27/89,Frogs/English-WolfHemp/06/28m6.xml,Anne,79.00162221,female,Frogs,11312/c-00020799-1,1,1,17
9,9,English-WolfHemp,eng,8/23/89,Frogs/English-WolfHemp/06/37m6.xml,Daniel,80.00164274,male,Frogs,11312/c-00020814-1,1,1,15
10,10,English-WolfHemp,eng,6/13/89,Frogs/English-WolfHemp/06/23m6.xml,Zachary,78.00160168,male,Frogs,11312/c-00020796-1,1,1,27
11,11,English-WolfHemp,eng,6/8/89,Frogs/English-WolfHemp/06/35w6.xml,Anthony,78.00160168,male,Frogs,11312/c-00020811-1,1,1,42
12,12,English-WolfHemp,eng,7/26/89,Frogs/English-WolfHemp/06/32w6.xml,Joanna,79.00162221,female,Frogs,11312/c-00020805-1,1,1,11
13,13,English-WolfHemp,eng,6/27/89,Frogs/English-WolfHemp/06/65m6.xml,Colin,77.00158114,male,Frogs,11312/c-00020834-1,1,1,74
14,14,English-WolfHemp,eng,7/11/89,Frogs/English-WolfHemp/06/49w6.xml,James,78.00160168,male,Frogs,11312/c-00020825-1,1,1,32
15,15,English-WolfHemp,eng,7/19/89,Frogs/English-WolfHemp/06/39w6.xml,Gregory,79.00162221,male,Frogs,11312/c-00020820-1,1,1,28
16,16,English-WolfHemp,eng,7/24/89,Frogs/English-WolfHemp/06/47m6.xml,Andrew,78.00160168,male,Frogs,11312/c-00020823-1,1,1,34
17,17,English-WolfHemp,eng,7/25/89,Frogs/English-WolfHemp/06/14w6.xml,Alexandra,79.00162221,female,Frogs,11312/c-00020790-1,1,1,51
18,18,English-WolfHemp,eng,6/7/89,Frogs/English-WolfHemp/06/01w6.xml,Christopher,79.00162221,male,Frogs,11312/c-00020772-1,1,1,16
19,19,English-WolfHemp,eng,6/12/89,Frogs/English-WolfHemp/06/66m6.xml,Christina,77.00158114,female,Frogs,11312/c-00020837-1,1,1,5
