,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,1545079,,say Roseanna,,,imperative_emphatic,eng,2,0,1,Sprott,v n:prop,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
2,1545096,nay nay nay nay nay,nay nay nay nay nay,,,missing CA terminator,eng,5,5,2,Sprott,adv adv adv adv adv,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
3,1545114,come on let's go,come on let go,,,missing CA terminator,eng,5,4,3,Sprott,v adv v v,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
4,1545125,come on let's,come on let go,,,missing CA terminator,eng,5,3,4,Sprott,v adv v v,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
5,1545135,let's her inside,let get her inside here,,,missing CA terminator,eng,6,3,5,Sprott,v v pro:obj prep n,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
6,1545146,with the horsie,with the other horse,,,missing CA terminator,eng,5,3,6,Sprott,prep det:art qn n,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
7,1545162,the fighter horsie,the fight horse,,,missing CA terminator,eng,6,3,7,Sprott,det:art n n,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
8,1545173,here's a horsie,here a fight horse,,,missing CA terminator,eng,8,3,8,Sprott,pro:exist det:art n:gerund n,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
9,1545182,horsie,fight horse,,,missing CA terminator,eng,5,1,9,Sprott,n:gerund n,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
10,1545190,hey hey hey,hey hey hey,,,missing CA terminator,eng,3,3,10,Sprott,co co co,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
11,1545202,fight fight fight fight with,fight fight fight fight with,,,interruption,eng,5,5,11,Sprott,n n n n prep,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
12,1545221,she'll be hit,Roseanna she be hit,,,missing CA terminator,eng,6,3,12,Sprott,n:prop pro:sub cop v,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
13,1545232,flowers,big flower,,,missing CA terminator,eng,3,1,13,Sprott,adj n,SI,Sam,Child,,,,,,,Eng-NA,2,51,3079,-2147483648,6551
14,1545241,who it,who make it,,,question,eng,4,2,14,Sprott,pro:rel v pro:per,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
15,1545251,,oh,,,imperative_emphatic,eng,1,0,15,Sprott,co,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
16,1545256,is this,what be this,,,missing CA terminator,eng,4,2,16,Sprott,pro:int cop pro:dem,JE,Jack,Child,,,,,,,Eng-NA,2,51,3081,-2147483648,6551
17,1545262,hey,hey,,,imperative_emphatic,eng,1,1,1,Sprott,co,TP,Tommy,Child,,,,,,,Eng-NA,2,51,3074,-2147483648,6552
